farm,cage,day,waveHeight,fetch,days_since_start,biomass_density,temperature,waterSpeed,windSpeed,wksSinceAntiAGD,wksSinceMech,wksSinceMedi,lice_total,agd_score,lep_fe,mortality,lmortRate
Farm A,4,2020-01-06,1.6,2.67301,274,2.2138245393039724,9.411104958633066,0.0980261040064976,12.657222629492086,16,23.22786810050456,17,4.008055555555555,0,NA,0.00910962523001804,-4.689272335275586
Farm A,5,2020-01-06,1.6,2.67301,274,2.363603005470803,9.411104958633066,0.0980261040064976,12.657222629492086,15,0,18,3.175,0,0.6,2.97024801570931e-4,-8.121397846753082
Farm A,6,2020-01-06,1.6,2.67301,274,2.1415255222979783,9.411104958633066,0.0980261040064976,12.657222629492086,16,0,17,6.97777777777777,0,1.288888888888888,3.88313609467456e-4,-7.853308883970701
Farm A,7,2020-01-06,1.6,2.67301,274,3.118590999721506,9.411104958633066,0.0980261040064976,12.657222629492086,15,0,18,2.755555555555556,0,0.711111111111111,2.25336878633557e-4,-8.397688674861515
Farm A,8,2020-01-06,1.6,2.67301,274,2.5915659965885864,9.411104958633066,0.0980261040064976,12.657222629492086,16,0,17,7.400000000000002,0,2.044444444444444,3.28180326453062e-4,-8.02161909069053
Farm A,1,2020-01-13,1.6,2.67301,281,2.6053919391114704,9.217106220411754,0.07206325572105182,11.521679741707889,16,23.22786810050456,18,5.550000000000001,0.8,0.25,0.00240459759059321,-6.027965218144678
Farm A,2,2020-01-13,1.6,2.67301,281,3.045026183866596,9.217106220411754,0.07206325572105182,11.521679741707889,17,23.22786810050456,18,5.95,0.9,0.2,0.00114451832946105,-6.771626229652671
Farm A,3,2020-01-13,1.6,2.67301,281,2.286334658193638,9.217106220411754,0.07206325572105182,11.521679741707889,16,23.22786810050456,19,6.8,0.9,0.45,9.37634939238788e-4,-6.971211800495494
Farm A,4,2020-01-13,1.6,2.67301,281,2.2984222106112657,9.217106220411754,0.07206325572105182,11.521679741707889,17,23.22786810050456,18,14.25,0.9,2.1,0.00110578695171397,-6.806091625205637
Farm A,5,2020-01-13,1.6,2.67301,281,2.4279597478581874,9.217106220411754,0.07206325572105182,11.521679741707889,16,1,19,4.1,0.75,0.55,5.79719746910922e-4,-7.452385878331917
Farm A,6,2020-01-13,1.6,2.67301,281,2.187849344541714,9.217106220411754,0.07206325572105182,11.521679741707889,17,1,18,8.95,1.25,1,0.00174750422933204,-6.347817630744609
Farm A,7,2020-01-13,1.6,2.67301,281,3.133564323919358,9.217106220411754,0.07206325572105182,11.521679741707889,16,1,19,3.25,0.75,0.75,4.44586306741752e-4,-7.717921670795333
Farm A,8,2020-01-13,1.6,2.67301,281,2.637542004236678,9.217106220411754,0.07206325572105182,11.521679741707889,17,1,18,5.7,0.95,1.25,0.00119584055459272,-6.7277093917564805
Farm A,1,2020-01-20,1.6,2.67301,288,2.683484964728014,9.06943935580493,0.08671523838798584,11.065260095058262,17,0,19,5.049999999999996,0,0.30000000000000004,0.0194113888185578,-3.922293068692605
Farm A,2,2020-01-20,1.6,2.67301,288,3.1310273229020757,9.06943935580493,0.08671523838798584,11.065260095058262,18,0,19,0.633333333333334,0,0.316666666666667,1.49014213663457e-4,-8.811319837536645
Farm A,3,2020-01-20,1.6,2.67301,288,2.358324497983195,9.06943935580493,0.08671523838798584,11.065260095058262,17,0,20,4.95,0,0.775,0.0129980848829307,-4.32986994986138
Farm A,4,2020-01-20,1.6,2.67301,288,2.352070237204103,9.06943935580493,0.08671523838798584,11.065260095058262,18,0,19,2.975,0,0.95,0.0193525751112588,-3.9253874998746543
Farm A,5,2020-01-20,1.6,2.67301,288,2.4873055568602944,9.06943935580493,0.08671523838798584,11.065260095058262,17,0,20,3.9736111111111105,0,NA,0.0310162379127896,-3.4417369833721385
Farm A,6,2020-01-20,1.6,2.67301,288,2.235599541961705,9.06943935580493,0.08671523838798584,11.065260095058262,18,0,19,2.6,0,0.666666666666667,0.0181337011014406,-3.991683000932934
Farm A,7,2020-01-20,1.6,2.67301,288,3.214784868070588,9.06943935580493,0.08671523838798584,11.065260095058262,17,0,20,3.9736111111111105,0,NA,0.0222790357925493,-3.7815781793470418
Farm A,8,2020-01-20,1.6,2.67301,288,2.6886766636254857,9.06943935580493,0.08671523838798584,11.065260095058262,18,0,19,7.633333333333333,0,1.75,0.0231451738926606,-3.742551761865138
Farm A,1,2020-01-27,1.6,2.67301,295,2.7209512488725234,8.924287491812061,0.05858230312169621,9.555328203319014,18,1,20,8.9,0.85,0.45,0.00517177687476912,-5.25935376319634
Farm A,2,2020-01-27,1.6,2.67301,295,3.1806324735316736,8.924287491812061,0.05858230312169621,9.555328203319014,19,1,20,11.599999999999998,0.8,0.4,9.20799714552089e-4,-6.989346786645523
Farm A,3,2020-01-27,1.6,2.67301,295,2.3315302004689435,8.924287491812061,0.05858230312169621,9.555328203319014,18,1,21,8.25,1.35,0.35,0.0188035902321617,-3.9547248319565407
Farm A,4,2020-01-27,1.6,2.67301,295,2.377270693114813,8.924287491812061,0.05858230312169621,9.555328203319014,19,1,20,13.2,1,0.4,8.93383261419149e-4,-7.019601102474864
Farm A,5,2020-01-27,1.6,2.67301,295,2.5594874275056485,8.924287491812061,0.05858230312169621,9.555328203319014,18,1,21,1.575,0,0.275,0.00428845889940991,-5.447530160774238
Farm A,6,2020-01-27,1.6,2.67301,295,2.257404109449381,8.924287491812061,0.05858230312169621,9.555328203319014,19,1,20,14.650000000000002,1.15,2.05,0.00138052690110059,-6.583908559586795
Farm A,7,2020-01-27,1.6,2.67301,295,3.3043658929217643,8.924287491812061,0.05858230312169621,9.555328203319014,18,1,21,3.425,0,0.425,4.90740199801367e-4,-7.619104834194214
Farm A,8,2020-01-27,1.6,2.67301,295,2.7151445825029423,8.924287491812061,0.05858230312169621,9.555328203319014,19,1,20,12.5,0.8,1.15,0.00193885428073892,-6.243717321013129
Farm A,1,2020-02-03,1.6,2.67301,302,2.835219451097136,8.938289217122493,0.08781298557583009,11.855248273658592,19,2,21,14.863636363636363,1.13636363636364,0.909090909090909,8.58102226091282e-4,-7.059928850338375
Farm A,2,2020-02-03,1.6,2.67301,302,3.2647143159088823,8.938289217122493,0.08781298557583009,11.855248273658592,20,2,21,15.69565217391304,1.30434782608696,1.565217391304348,0.00144461908284024,-6.538463939109263
Farm A,3,2020-02-03,1.6,2.67301,302,2.365328798299125,8.938289217122493,0.08781298557583009,11.855248273658592,19,2,22,17.249999999999964,1.04166666666667,0.666666666666666,0.00353257029814893,-5.6421907186495615
Farm A,4,2020-02-03,1.6,2.67301,302,2.446114585755886,8.938289217122493,0.08781298557583009,11.855248273658592,20,2,21,20.958333333333332,1,1.083333333333333,0.00202367315769378,-6.200815300398731
Farm A,5,2020-02-03,1.6,2.67301,302,2.6197875702010163,8.938289217122493,0.08781298557583009,11.855248273658592,19,2,22,12.130434782608695,0.956521739130435,1.0869565217391308,0.00210933686632731,-6.159270097601712
Farm A,6,2020-02-03,1.6,2.67301,302,2.329806382906349,8.938289217122493,0.08781298557583009,11.855248273658592,20,2,21,16.347826086956516,1.1304347826087,0.913043478260869,9.05203959785833e-4,-7.00644465582294
Farm A,7,2020-02-03,1.6,2.67301,302,2.45024466317884,8.938289217122493,0.08781298557583009,11.855248273658592,19,2,22,13.56521739130435,0.695652173913043,0.91304347826087,0.00148822399501618,-6.508682487115033
Farm A,8,2020-02-03,1.6,2.67301,302,2.7926136539434263,8.938289217122493,0.08781298557583009,11.855248273658592,20,2,21,15.304347826086955,0.956521739130435,0.913043478260869,9.5761211288982e-4,-6.950109683667611
Farm A,1,2020-02-10,1.6,2.67301,309,2.920922191998216,9.0142982123347,0.09319483332584548,12.399259628712626,20,3,22,38.256916996047444,0.7806324110671935,NA,2.62139558107602e-4,-8.246371357563053
Farm A,2,2020-02-10,1.6,2.67301,309,3.3538053776845467,9.0142982123347,0.09319483332584548,12.399259628712626,21,3,22,38.256916996047444,0.7806324110671935,NA,2.55001506827086e-4,-8.27398606967224
Farm A,3,2020-02-10,1.6,2.67301,309,2.4162285152569347,9.0142982123347,0.09319483332584548,12.399259628712626,20,3,23,37.81818181818181,0.909090909090909,8.772727272727272,0.00131012296995797,-6.636323294046316
Farm A,4,2020-02-10,1.6,2.67301,309,2.509215918018565,9.0142982123347,0.09319483332584548,12.399259628712626,21,3,22,38.695652173913075,0.652173913043478,6.130434782608701,4.21949020886477e-4,-7.770204016745727
Farm A,5,2020-02-10,1.6,2.67301,309,2.6898846565248498,9.0142982123347,0.09319483332584548,12.399259628712626,20,3,23,38.256916996047444,0.7806324110671935,NA,3.50164577351355e-4,-7.956757067096912
Farm A,6,2020-02-10,1.6,2.67301,309,2.3963499032283666,9.0142982123347,0.09319483332584548,12.399259628712626,21,3,22,38.256916996047444,0.7806324110671935,NA,4.83241195345421e-4,-7.63451130171585
Farm A,7,2020-02-10,1.6,2.67301,309,2.547003394198336,9.0142982123347,0.09319483332584548,12.399259628712626,20,3,23,38.256916996047444,0.7806324110671935,NA,4.17064905725954e-4,-7.7818515471531615
Farm A,8,2020-02-10,1.6,2.67301,309,2.8897690518388135,9.0142982123347,0.09319483332584548,12.399259628712626,21,3,22,38.256916996047444,0.7806324110671935,NA,3.62588154245001e-4,-7.921880275204646
Farm A,1,2020-02-17,1.6,2.67301,316,2.949546899505104,8.955128647472831,0.08654171647473427,9.720683496019848,21,4,23,32.217391304347785,0.869565217391304,6.565217391304347,0.00445467741128185,-5.409336002115877
Farm A,2,2020-02-17,1.6,2.67301,316,3.4098777256603596,8.955128647472831,0.08654171647473427,9.720683496019848,22,4,23,48.91666666666666,1,10.041666666666664,0.00188031013510377,-6.274436470127537
Farm A,3,2020-02-17,1.6,2.67301,316,2.451112317683904,8.955128647472831,0.08654171647473427,9.720683496019848,21,4,24,40.869565217391376,1.04347826086957,8.217391304347826,0.0035016466851512,-5.651014147857259
Farm A,4,2020-02-17,1.6,2.67301,316,2.530953737992805,8.955128647472831,0.08654171647473427,9.720683496019848,22,4,23,47.12500000000003,1,10.25,0.00405675613320003,-5.503306599604474
Farm A,5,2020-02-17,1.6,2.67301,316,2.730157419555017,8.955128647472831,0.08654171647473427,9.720683496019848,21,4,24,36.17391304347835,0.782608695652174,6.434782608695647,3.68408126030666e-4,-7.905950720192026
Farm A,6,2020-02-17,1.6,2.67301,316,2.425742181025411,8.955128647472831,0.08654171647473427,9.720683496019848,22,4,23,42.76,0.8,7.84,0.00348864253042872,-5.654747836160911
Farm A,7,2020-02-17,1.6,2.67301,316,2.5937465771984294,8.955128647472831,0.08654171647473427,9.720683496019848,21,4,24,38.086956521739154,1.39130434782609,7.2608695652174,0.00127113479252642,-6.666573296686542
Farm A,8,2020-02-17,1.6,2.67301,316,2.931857046387482,8.955128647472831,0.08654171647473427,9.720683496019848,22,4,23,34.62499999999999,0.833333333333333,6.58333333333333,0.00130752188283151,-6.6383132483386165
Farm A,1,2020-02-24,1.6,2.67301,323,2.952571358983598,8.829134938683968,0.07647229983316939,8.675312789857982,22,5,24,11.075,0,NA,0.00705823040080665,-4.946477652795703
Farm A,2,2020-02-24,1.6,2.67301,323,3.422710666433502,8.829134938683968,0.07647229983316939,8.675312789857982,23,5,24,10.633333333333333,0,2.4666666666666632,0.00232861400894188,-6.060150704896428
Farm A,3,2020-02-24,1.6,2.67301,323,2.4478049212745283,8.829134938683968,0.07647229983316939,8.675312789857982,22,5,25,11.075,0,NA,0.00401606425702811,-5.5134287461649825
Farm A,4,2020-02-24,1.6,2.67301,323,2.52148982100456,8.829134938683968,0.07647229983316939,8.675312789857982,23,5,24,11.516666666666667,0,2.73333333333333,0.00309891344347388,-5.773600006017709
Farm A,5,2020-02-24,1.6,2.67301,323,2.7493277301508683,8.829134938683968,0.07647229983316939,8.675312789857982,22,5,25,11.075,0,NA,0.00356904251204332,-5.631882496333943
Farm A,6,2020-02-24,1.6,2.67301,323,2.425836309421586,8.829134938683968,0.07647229983316939,8.675312789857982,23,5,24,11.075,0,NA,0.0020482609289351,-6.188713811729664
Farm A,7,2020-02-24,1.6,2.67301,323,2.6037135317202873,8.829134938683968,0.07647229983316939,8.675312789857982,22,5,25,11.075,0,NA,0.00118818801327975,-6.734136915758726
Farm A,8,2020-02-24,1.6,2.67301,323,2.9402479671596784,8.829134938683968,0.07647229983316939,8.675312789857982,23,5,24,11.075,0,NA,0.00136763981837743,-6.593300209217338
Farm A,1,2020-03-02,1.6,2.67301,330,2.8495459943204926,8.780739597387507,0.0670027538911258,8.582670016309928,23,6,25,8.266666666666671,0,NA,5.09963910246352e-4,-7.580660504986581
Farm A,2,2020-03-02,1.6,2.67301,330,3.4504633195036165,8.780739597387507,0.0670027538911258,8.582670016309928,24,6,25,8.266666666666671,0,NA,3.39861008566841e-4,-7.986633903493297
Farm A,3,2020-03-02,1.6,2.67301,330,2.432162829965866,8.780739597387507,0.0670027538911258,8.582670016309928,23,6,26,8.266666666666671,0,NA,3.4501977228695e-4,-7.971563752293156
