farm,cage,day,lmortRate,biomass_density,days_since_start,waveHeight,temperature,waterSpeed,windSpeed,lice_total,agd_score,wksSinceAntiAGD,wksSinceMech,wksSinceMedi,cage_z,lmortRate_z,biomass_density_z,days_since_start_z,waveHeight_z,temperature_z,waterSpeed_z,windSpeed_z,lice_total_z,agd_score_z,wksSinceAntiAGD_z,wksSinceMech_z,wksSinceMedi_z
Farm C,3,2018-09-10,-3.1780864711522177,0.22272093706877721,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0.03278982282299084,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-0.9060264518938229,3.5643476067508013,-1.5722074792948655,-1.7666080711337002,-1.0891990616162472,1.3561009438615015,1.3019680662400923,0.8724842994169009,-1.0995629312398383,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,9,2018-09-10,-8.564607668561216,0.1850804090065766,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0.028987536873252336,0.028987536873252288,2.6438928315157195,3.187503545010459,2.5143827322663648,0.839042930790583,0.039152230420201536,-1.5982904696794837,-1.7666080711337002,-1.0891990616162472,1.3561009438615015,1.3019680662400923,0.8724842994169009,-1.104281574881691,-0.9407985626080775,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,10,2018-09-10,-8.833349335607272,0.2145600091565853,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0.06453852113757119,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.1298878279046507,-0.13672508396850502,-1.5778625913568298,-1.7666080711337002,-1.0891990616162472,1.3561009438615015,1.3019680662400923,0.8724842994169009,-1.06016274003394,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,11,2018-09-10,-3.1780789556604425,0.20815358417142332,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0.046520015634892845,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.4207327250187183,3.564352525245668,-1.5823019212464537,-1.7666080711337002,-1.0891990616162472,1.3561009438615015,1.3019680662400923,0.8724842994169009,-1.0825237374838426,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,1,2018-09-17,-8.3561981546701,0.2362207405779048,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0.07696104113612832,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.4877162461219582,0.1755453175031345,-1.5628527953079419,-1.7091868778553798,-1.0891990616162472,1.3051732308285804,0.2513673225441835,0.6236357054596566,-1.0447463705704563,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,2,2018-09-17,-9.059251666184746,0.24643441343317016,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0.07696104113612832,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.1968713490078906,-0.28456630134588695,-1.5557752343758715,-1.7091868778553798,-1.0891990616162472,1.3051732308285804,0.2513673225441835,0.6236357054596566,-1.0447463705704563,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,3,2018-09-17,-7.907218175641225,0.2488898257678751,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0.30010459245033805,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-0.9060264518938229,0.4693791460786021,-1.55407375728154,-1.7091868778553798,-1.0891990616162472,1.3051732308285804,0.2513673225441835,0.6236357054596566,-0.7678248255978418,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,9,2018-09-17,-8.754966052746408,0.20396727737952716,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0.2876820724517807,0,2.6438928315157195,3.187503545010459,2.5143827322663648,0.839042930790583,-0.08542733980374717,-1.5852028210324411,-1.7091868778553798,-1.0891990616162472,1.3051732308285804,0.2513673225441835,0.6236357054596566,-0.7832411950613256,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,10,2018-09-17,-8.832709278547432,0.2408816153568916,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0.43363598507486084,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.1298878279046507,-0.1363062002204894,-1.5596230438059615,-1.7091868778553798,-1.0891990616162472,1.3051732308285804,0.2513673225441835,0.6236357054596566,-0.6021121293081825,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,11,2018-09-17,-8.391125936172156,0.2318597463684011,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0.2732933349996811,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.4207327250187183,0.1526869179268443,-1.5658747446771404,-1.7091868778553798,-1.0891990616162472,1.3051732308285804,0.2513673225441835,0.6236357054596566,-0.8010976438897753,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
Farm C,1,2018-09-24,-10.552752505279225,0.25953760045397795,22,1.68,13.889466338370264,0.2669429520953322,8.874755986044857,0.8391010931830233,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.4877162461219582,-1.2619842042131806,-1.5466953856419001,-1.6517656845770596,-1.0891990616162472,1.1814321881218426,1.154734620070605,0.5737726467782608,-0.09892920733480419,-1.0387506460388776,0.49793685295198176,0.33619401501820695,0.5112761312751034
