farm,cage,day,biomass_density,days_since_start,waveHeight,temperature,waterSpeed,windSpeed,lep_fe,agd_score,wksSinceAntiAGD,wksSinceMech,wksSinceMedi,cage_z,biomass_density_z,days_since_start_z,waveHeight_z,temperature_z,waterSpeed_z,windSpeed_z,lep_fe_z,agd_score_z,wksSinceAntiAGD_z,wksSinceMech_z,wksSinceMedi_z
Farm C,3,2018-09-10,0.22272093706877721,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-0.887735266940439,-1.487391477967244,-1.690011735782282,-1.0452825808541586,1.3421249549354768,1.2957735641411754,0.8872409028029327,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,9,2018-09-10,0.1850804090065766,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0,0.028987536873252187,2.6438928315157195,3.187503545010459,2.5143827322663648,0.8582909547334813,-1.513235878783487,-1.690011735782282,-1.0452825808541586,1.3421249549354768,1.2957735641411754,0.8872409028029327,-0.6337351280013187,-0.8782991060348563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,10,2018-09-10,0.2145600091565853,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.149295325012468,-1.4929948608859591,-1.690011735782282,-1.0452825808541586,1.3421249549354768,1.2957735641411754,0.8872409028029327,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,11,2018-09-10,0.20815358417142332,8,1.68,14.255399304224085,0.27706834627235605,9.667756104144548,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.4402996952914546,-1.4973935827859843,-1.690011735782282,-1.0452825808541586,1.3421249549354768,1.2957735641411754,0.8872409028029327,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,1,2018-09-17,0.2362207405779048,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.4697440074984125,-1.4781223643072583,-1.6308422063673325,-1.0452825808541586,1.290974180212651,0.26503650546160057,0.6374273833555253,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,2,2018-09-17,0.24643441343317016,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.1787396372194257,-1.4711095441193676,-1.6308422063673325,-1.0452825808541586,1.290974180212651,0.26503650546160057,0.6374273833555253,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,3,2018-09-17,0.2488898257678751,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-0.887735266940439,-1.4694236309875859,-1.6308422063673325,-1.0452825808541586,1.290974180212651,0.26503650546160057,0.6374273833555253,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,9,2018-09-17,0.20396727737952716,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,0.8582909547334813,-1.5002679471012441,-1.6308422063673325,-1.0452825808541586,1.290974180212651,0.26503650546160057,0.6374273833555253,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,10,2018-09-17,0.2408816153568916,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.149295325012468,-1.4749221563892556,-1.6308422063673325,-1.0452825808541586,1.290974180212651,0.26503650546160057,0.6374273833555253,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,11,2018-09-17,0.2318597463684011,15,1.68,14.148705184858708,0.20481746218756816,9.007129166246813,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,1.4402996952914546,-1.481116670925951,-1.6308422063673325,-1.0452825808541586,1.290974180212651,0.26503650546160057,0.6374273833555253,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,1,2018-09-24,0.25953760045397795,22,1.68,13.889466338370264,0.2669429520953322,8.874755986044857,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.4697440074984125,-1.4621127517051817,-1.5716726769523832,-1.0452825808541586,1.1666911558528417,1.1513238574808489,0.5873709776450221,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,2,2018-09-24,0.2682989576753491,22,1.68,13.889466338370264,0.2669429520953322,8.874755986044857,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-1.1787396372194257,-1.4560971074148248,-1.5716726769523832,-1.0452825808541586,1.1666911558528417,1.1513238574808489,0.5873709776450221,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
Farm C,3,2018-09-24,0.271550571705354,22,1.68,13.889466338370264,0.2669429520953322,8.874755986044857,0,0,2.6438928315157195,3.187503545010459,2.5143827322663648,-0.887735266940439,-1.4538645134365389,-1.5716726769523832,-1.0452825808541586,1.1666911558528417,1.1513238574808489,0.5873709776450221,-0.6337351280013187,-0.9759206418836563,0.5375192243395798,0.3063422544286536,0.5625544609362644
